行业类型,数据时间,有功功率最大值（kw）,有功功率最小值（kw）
大工业用电,2019/1/1,117888.33,51526.569
大工业用电,2019/1/2,126843.7914,63638.4294
大工业用电,2019/1/3,130286.1294,102048.2754
大工业用电,2019/1/4,133018.6344,104466.0762
大工业用电,2019/1/5,133504.4784,99507.3528
大工业用电,2019/1/6,128177.277,92752.5162
大工业用电,2019/1/7,130310.5716,103008.1572
大工业用电,2019/1/8,129944.3166,95916.0342
大工业用电,2019/1/9,125720.6202,99121.317
大工业用电,2019/1/10,123156.6018,100170.5898
大工业用电,2019/1/11,123400.7388,99387.8736
大工业用电,2019/1/12,113420.7912,88231.848
大工业用电,2019/1/13,99806.6688,81903.0432
大工业用电,2019/1/14,110242.0782,84833.3448
大工业用电,2019/1/15,105242.3346,81276.8538
大工业用电,2019/1/16,102722.628,78212.1468
大工业用电,2019/1/17,101912.0022,75423.753
大工业用电,2019/1/18,101456.6616,75346.464
大工业用电,2019/1/19,93148.4814,68855.4522
大工业用电,2019/1/20,84260.3826,63102.6102
大工业用电,2019/1/21,89472.2976,63279.4662
大工业用电,2019/1/22,80256.1158,56346.8544
大工业用电,2019/1/23,73730.6076,51101.2008
大工业用电,2019/1/24,66859.4064,45051.612
大工业用电,2019/1/25,65554.6776,44423.679
大工业用电,2019/1/26,57079.9086,42317.6316
大工业用电,2019/1/27,47640.9036,37531.0986
大工业用电,2019/1/28,46956.438,35645.0478
大工业用电,2019/1/29,44441.9736,34036.7826
大工业用电,2019/1/30,39320.913,31076.5764
大工业用电,2019/1/31,34190.5566,27491.793
大工业用电,2019/2/1,29698.923,18571.0344
大工业用电,2019/2/2,20169.7986,17216.9772
大工业用电,2019/2/3,20268.3438,16134.1296
大工业用电,2019/2/4,19140.5814,16333.584
大工业用电,2019/2/5,19396.0026,16234.2726
大工业用电,2019/2/6,18910.236,16045.7868
大工业用电,2019/2/7,19173.006,16228.5366
大工业用电,2019/2/8,18785.1606,16396.3824
大工业用电,2019/2/9,19234.8096,15594.4416
大工业用电,2019/2/10,20062.8756,15972.7464
大工业用电,2019/2/11,24373.4634,16622.3304
大工业用电,2019/2/12,29531.1768,20452.554
大工业用电,2019/2/13,36491.2572,22638.5688
大工业用电,2019/2/14,57668.9514,26524.0062
大工业用电,2019/2/15,66612.2808,40255.6758
大工业用电,2019/2/16,72445.7592,218.904
大工业用电,2019/2/17,73400.1144,50435.3976
大工业用电,2019/2/18,85144.9368,52566.7086
大工业用电,2019/2/19,88835.7624,55820.3694
大工业用电,2019/2/20,99309.264,58936.5642
大工业用电,2019/2/21,105605.2194,61111.3164
大工业用电,2019/2/22,109364.7084,66302.3832
大工业用电,2019/2/23,113842.0818,65781.8934
大工业用电,2019/2/24,108463.2624,70454.3598
大工业用电,2019/2/25,123272.9562,76269.195
大工业用电,2019/2/26,124566.6702,82972.8174
大工业用电,2019/2/27,130045.8114,82922.8002
大工业用电,2019/2/28,126584.6622,81783.7812
大工业用电,2019/3/1,127249.4376,85008.1818
大工业用电,2019/3/2,127938.4968,87346.3038
大工业用电,2019/3/3,116814.834,81770.8014
大工业用电,2019/3/4,136369.5288,95851.5726
大工业用电,2019/3/5,133529.9292,97141.7946
大工业用电,2019/3/6,132401.73,102810.5502
大工业用电,2019/3/7,139271.3058,102735.3732
大工业用电,2019/3/8,139949.7582,103113.2148
大工业用电,2019/3/9,137539.932,99557.406
大工业用电,2019/3/10,117868.473,95172.2136
大工业用电,2019/3/11,130910.0766,102215.8182
大工业用电,2019/3/12,138563.1168,103192.089
大工业用电,2019/3/13,140725.5858,104956.1148
大工业用电,2019/3/14,139172.6886,99662.6886
大工业用电,2019/3/15,129078.9444,107425.392
大工业用电,2019/3/16,129090.3324,102393.5316
大工业用电,2019/3/17,122861.3904,99648.1734
大工业用电,2019/3/18,138200.595,113023.1634
大工业用电,2019/3/19,130698.7524,109989.8406
大工业用电,2019/3/20,138065.6274,105842.2224
大工业用电,2019/3/21,138581.8242,107613.6024
大工业用电,2019/3/22,138016.2042,107900.9766
大工业用电,2019/3/23,130209.8406,1695.486
大工业用电,2019/3/24,120938.2776,1484.442
大工业用电,2019/3/25,127732.6662,95784.2442
大工业用电,2019/3/26,124295.6682,95146.9044
大工业用电,2019/3/27,130056.7992,103581.8184
大工业用电,2019/3/28,134397.8178,102823.2336
大工业用电,2019/3/29,143142.1248,105450.633
大工业用电,2019/3/30,130326.4998,107181.1542
