日期,天气状况,最高温度,最低温度,白天风力风向,夜晚风力风向,,,
2018年1月1日,多云/多云,22℃,12℃,无持续风向<3级,无持续风向<3级,,,22℃
2018年1月1日,多云/多云,22℃,12℃,无持续风向<3级,无持续风向<3级,,,22℃
2018年1月2日,多云/多云,22℃,15℃,无持续风向<3级,无持续风向<3级,,,22℃
2018年1月3日,多云/阴,23℃,15℃,无持续风向<3级,无持续风向<3级,,,23℃
2018年1月4日,多云/小雨,21℃,16℃,无持续风向<3级,无持续风向<3级,,,21℃
2018年1月5日,阴/小雨,19℃,13℃,无持续风向<3级,无持续风向<3级,,,19℃
2018年1月6日,小雨-中雨/中雨-大雨,15℃,11℃,无持续风向<3级,无持续风向<3级,,,15℃
2018年1月7日,大雨/中雨,15℃,7℃,无持续风向<3级,北风4～5级,,,15℃
2018年1月8日,中雨/小雨-中雨,12℃,5℃,北风4～5级,北风3～4级,,,12℃
2018年1月9日,小雨/阴,9℃,6℃,无持续风向<3级,无持续风向<3级,,,9℃
2018年1月10日,多云/多云,14℃,7℃,无持续风向<3级,无持续风向<3级,,,14℃
2018年1月11日,多云/多云,15℃,6℃,无持续风向<3级,无持续风向<3级,,,15℃
2018年1月12日,晴/晴,16℃,6℃,无持续风向<3级,无持续风向<3级,,,16℃
2018年1月13日,晴/晴,17℃,7℃,无持续风向<3级,无持续风向<3级,,,17℃
2018年1月14日,多云/多云,20℃,10℃,无持续风向<3级,无持续风向<3级,,,20℃
2018年1月15日,多云/多云,21℃,10℃,无持续风向<3级,无持续风向<3级,,,21℃
2018年1月16日,多云/多云,23℃,12℃,无持续风向<3级,无持续风向<3级,,,23℃
2018年1月17日,多云/多云,24℃,14℃,无持续风向<3级,无持续风向<3级,,,24℃
2018年1月18日,多云/小雨,25℃,13℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年1月19日,多云/多云,24℃,17℃,无持续风向<3级,无持续风向<3级,,,24℃
2018年1月20日,阴/阴,22℃,16℃,无持续风向<3级,无持续风向<3级,,,22℃
2018年1月21日,阴/阴,21℃,18℃,微风<3级,微风<3级,,,21℃
2018年1月22日,阴/阴,23℃,19℃,微风<3级,微风<3级,,,23℃
2018年1月23日,阴/阴,24℃,15℃,无持续风向<3级,无持续风向<3级,,,24℃
2018年1月24日,阴/阴,23℃,17℃,微风<3级,微风<3级,,,23℃
2018年1月25日,多云/阴,22℃,13℃,无持续风向<3级,无持续风向<3级,,,22℃
2018年1月26日,多云/局部多云,19℃,12℃,北风3,北风3,,,19℃
2018年1月27日,阴/阵雨,16℃,8℃,东北风3～4级,北风3～4级,,,16℃
2018年1月28日,小雨/小雨,10℃,5℃,北风3～4级,北风3～4级,,,10℃
2018年1月29日,小雨/小雨,8℃,6℃,无持续风向<3级,无持续风向<3级,,,8℃
2018年1月30日,小雨/小雨,7℃,5℃,无持续风向<3级,无持续风向<3级,,,7℃
2018年1月31日,小雨/多云,8℃,4℃,北风3～4级,无持续风向<3级,,,8℃
2018年2月1日,晴/晴,14℃,5℃,无持续风向<3级,无持续风向<3级,,,14℃
2018年2月2日,晴/晴,11℃,4℃,北风3～4级,微风<3级,,,11℃
2018年2月3日,多云/多云,13℃,4℃,北风3～4级,无持续风向<3级,,,13℃
2018年2月4日,多云/多云,14℃,4℃,北风4～5级,北风4～5级,,,14℃
2018年2月5日,多云/晴,12℃,4℃,无持续风向<3级,无持续风向<3级,,,12℃
2018年2月6日,晴/晴,14℃,5℃,无持续风向<3级,无持续风向<3级,,,14℃
2018年2月7日,阴/多云,16℃,8℃,无持续风向<3级,无持续风向<3级,,,16℃
2018年2月8日,多云/多云,16℃,10℃,微风<3级,微风<3级,,,16℃
2018年2月9日,阴/阴,17℃,11℃,无持续风向<3级,无持续风向<3级,,,17℃
2018年2月10日,阴/阴,20℃,9℃,无持续风向<3级,北风3～4级,,,20℃
2018年2月11日,阴/多云,16℃,9℃,无持续风向<3级,无持续风向<3级,,,16℃
2018年2月12日,晴/晴,17℃,8℃,无持续风向<3级,无持续风向<3级,,,17℃
2018年2月13日,晴/多云,20℃,9℃,无持续风向<3级,无持续风向<3级,,,20℃
2018年2月14日,多云/多云,22℃,10℃,无持续风向<3级,无持续风向<3级,,,22℃
2018年2月15日,多云/多云,24℃,15℃,无持续风向<3级,无持续风向<3级,,,24℃
2018年2月16日,多云/多云,25℃,16℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年2月17日,阴/阴,25℃,17℃,微风<3级,微风<3级,,,25℃
2018年2月18日,阴/阵雨,22℃,18℃,微风<3级,微风<3级,,,22℃
2018年2月19日,阴/阴,25℃,19℃,微风<3级,微风<3级,,,25℃
2018年2月20日,多云/阴,27℃,16℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年2月21日,阴/小雨,18℃,13℃,北风3～4级,北风3～4级,,,18℃
2018年2月22日,小雨/阴,16℃,10℃,无持续风向<3级,微风<3级,,,16℃
2018年2月23日,阴/阵雨,17℃,15℃,无持续风向<3级,无持续风向<3级,,,17℃
2018年2月24日,阴/小雨,18℃,15℃,无持续风向<3级,无持续风向<3级,,,18℃
2018年2月25日,小雨/阴,17℃,12℃,无持续风向<3级,无持续风向<3级,,,17℃
2018年2月26日,多云/多云,21℃,15℃,无持续风向<3级,无持续风向<3级,,,21℃
2018年2月27日,多云/小雨,23℃,17℃,微风<3级,微风<3级,,,23℃
2018年2月28日,多云/多云,26℃,19℃,无持续风向<3级,无持续风向<3级,,,26℃
2018年3月1日,多云/雾,29℃,20℃,南风3～4级,无持续风向<3级,,,29℃
2018年3月2日,多云/多云,28℃,21℃,无持续风向<3级,无持续风向<3级,,,28℃
2018年3月3日,多云/多云,27℃,22℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年3月4日,雷阵雨/雷阵雨,28℃,21℃,南风4～5级,无持续风向<3级,,,28℃
2018年3月5日,雷阵雨/雷阵雨,28℃,18℃,无持续风向<3级,无持续风向<3级,,,28℃
2018年3月6日,阴/阴,25℃,17℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年3月7日,雷阵雨/小雨-中雨,24℃,11℃,无持续风向<3级,北风3～4级,,,24℃
2018年3月8日,雷阵雨/多云,14℃,10℃,北风3～4级,无持续风向<3级,,,14℃
2018年3月9日,晴/晴,19℃,9℃,微风<3级,微风<3级,,,19℃
2018年3月10日,晴/晴,22℃,13℃,东北偏东风2,东北偏东风2,,,22℃
2018年3月11日,多云/多云,23℃,13℃,无持续风向<3级,无持续风向<3级,,,23℃
2018年3月12日,多云/多云,25℃,15℃,微风<3级,微风<3级,,,25℃
2018年3月13日,小雨/小雨,26℃,16℃,无持续风向<3级,无持续风向<3级,,,26℃
2018年3月14日,雷阵雨/雷阵雨,25℃,17℃,微风<3级,微风<3级,,,25℃
2018年3月15日,雷阵雨/雷阵雨,25℃,18℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年3月16日,多云/阴,27℃,19℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年3月17日,雾/雾,27℃,19℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年3月18日,阴/阴,25℃,19℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年3月19日,中雨/大雨,24℃,15℃,微风<3级,北风3～4级,,,24℃
2018年3月20日,多云/多云,22℃,10℃,北风3～4级,无持续风向<3级,,,22℃
2018年3月21日,晴/晴,21℃,11℃,无持续风向<3级,无持续风向<3级,,,21℃
2018年3月22日,晴/晴,23℃,14℃,无持续风向<3级,无持续风向<3级,,,23℃
2018年3月23日,多云/多云,25℃,15℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年3月24日,多云/阴,26℃,18℃,无持续风向<3级,无持续风向<3级,,,26℃
2018年3月25日,阵雨/多云,25℃,18℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年3月26日,多云/多云,25℃,18℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年3月27日,多云/多云,27℃,19℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年3月28日,多云/多云,28℃,19℃,无持续风向<3级,无持续风向<3级,,,28℃
2018年3月29日,阴/多云,27℃,20℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年3月30日,多云/多云,28℃,20℃,无持续风向<3级,无持续风向<3级,,,28℃
2018年3月31日,多云/多云,28℃,19℃,无持续风向<3级,无持续风向<3级,,,28℃
2018年4月1日,晴/多云,30℃,21℃,无持续风向<3级,无持续风向<3级,,,30℃
2018年4月2日,多云/多云,30℃,21℃,无持续风向<3级,无持续风向<3级,,,30℃
2018年4月3日,多云/多云,31℃,21℃,无持续风向<3级,无持续风向<3级,,,31℃
2018年4月4日,多云/多云,30℃,21℃,无持续风向<3级,无持续风向<3级,,,30℃
2018年4月5日,多云/阵雨,29℃,20℃,无持续风向<3级,无持续风向<3级,,,29℃
2018年4月6日,小雨/阴,21℃,14℃,北风3～4级,北风3～4级,,,21℃
2018年4月7日,阴/多云,19℃,12℃,无持续风向<3级,无持续风向<3级,,,19℃
2018年4月8日,多云/多云,25℃,14℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年4月9日,多云/多云,26℃,18℃,无持续风向<3级,无持续风向<3级,,,26℃
2018年4月10日,多云/多云,28℃,20℃,无持续风向<3级,无持续风向<3级,,,28℃
2018年4月11日,多云/多云,30℃,21℃,无持续风向<3级,无持续风向<3级,,,30℃
2018年4月12日,多云/多云,30℃,23℃,微风<3级,微风<3级,,,30℃
2018年4月13日,阵雨/阴,30℃,25℃,南风3～4级,无持续风向<3级,,,30℃
2018年4月14日,中雨/小雨,30℃,18℃,北风3～4级,微风<3级,,,30℃
2018年4月15日,小雨-中雨/阵雨,17℃,15℃,无持续风向<3级,无持续风向<3级,,,17℃
2018年4月16日,中雨/阵雨,17℃,15℃,无持续风向<3级,无持续风向<3级,,,17℃
2018年4月17日,阴/多云,22℃,18℃,微风<3级,微风<3级,,,22℃
2018年4月18日,多云/多云,26℃,19℃,无持续风向<3级,无持续风向<3级,,,26℃
2018年4月19日,阴/多云,27℃,20℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年4月20日,小雨-中雨/雷阵雨,27℃,22℃,南风3～4级,无持续风向<3级,,,27℃
2018年4月21日,雷阵雨/阴,28℃,22℃,南风3～4级,无持续风向<3级,,,28℃
2018年4月22日,多云/阴,29℃,23℃,无持续风向<3级,无持续风向<3级,,,29℃
2018年4月23日,小雨-中雨/中雨,29℃,22℃,无持续风向<3级,无持续风向<3级,,,29℃
2018年4月24日,阴/阴,25℃,20℃,无持续风向<3级,无持续风向<3级,,,25℃
2018年4月25日,阴/阴,26℃,21℃,无持续风向<3级,无持续风向<3级,,,26℃
