数据时间,有功功率最大值（kw）,有功功率最小值（kw）
2021/8/2,7282.137293,3085.322235
2021/8/3,7210.974601,2984.612489
2021/8/4,8992.870582,4019.298699
2021/8/5,9852.441304,3931.394508
2021/8/6,9859.54865,3418.544722
2021/8/7,8175.19865,2483.565209
2021/8/8,8178.42559,4260.785387
2021/8/9,9414.614714,3779.358589
2021/8/10,7100.711607,1321.098924
2021/8/11,9043.714098,3778.437101
2021/8/12,10266.51234,2811.302435
2021/8/13,8531.023926,2662.465431
2021/8/14,7094.29568,1547.019903
2021/8/15,7962.710432,6593.90655
2021/8/16,6163.280185,-393.5511401
2021/8/17,9493.977706,4109.748578
2021/8/18,7426.766084,4391.548616
2021/8/19,10428.80344,3404.702798
2021/8/20,8447.921559,3799.263786
2021/8/21,7554.147334,3815.276493
2021/8/22,6901.379696,3798.459621
2021/8/23,7133.029622,3916.267649
2021/8/24,11201.03571,3508.792921
2021/8/25,7865.405039,4028.033382
2021/8/26,8630.444817,3739.913768
2021/8/27,8325.461182,2726.539383
2021/8/28,7235.054076,2077.209984
2021/8/29,5054.649523,3073.360828
2021/8/30,8172.276162,4923.731352
2021/8/31,7638.885738,2051.298495
2021/9/1,7486.994215,4286.841677
2021/9/2,6322.005686,4487.14348
2021/9/3,6288.122397,1342.639284
2021/9/4,9206.653551,952.5807974
2021/9/5,9009.800732,3910.176119
2021/9/6,8152.922089,2189.423051
2021/9/7,7504.648518,3521.952304
2021/9/8,8750.87645,5006.269669
2021/9/9,7818.295167,2471.22317
2021/9/10,7780.137635,4974.85585
2021/9/11,8224.991667,3017.493779
2021/9/12,7117.978049,2048.040773
2021/9/13,10309.32003,1649.095459
2021/9/14,7388.213075,1806.895658
2021/9/15,9155.742332,2989.759903
2021/9/16,7775.399597,1971.330472
2021/9/17,6965.889995,2277.957017
2021/9/18,7060.998398,2006.822679
2021/9/19,7659.039619,4702.593585
2021/9/20,8197.196797,2255.038872
2021/9/21,7867.849655,1385.040805
2021/9/22,8926.787371,6122.295654
2021/9/23,9818.292753,4153.17463
2021/9/24,6648.659353,1078.468236
2021/9/25,6256.798749,740.8869268
2021/9/26,8663.92681,3573.349586
2021/9/27,4979.931706,4331.977498
2021/9/28,5106.430976,1734.182679
2021/9/29,8409.198656,1985.243475
2021/9/30,8882.580924,279.3154538
2021/10/1,6930.745878,3916.775041
2021/10/2,8609.144617,4654.665965
2021/10/3,6550.79772,3330.601663
2021/10/4,8693.919899,4165.330976
2021/10/5,11838.51728,2320.394771
2021/10/6,6812.58847,3422.360561
2021/10/7,4550.20444,1812.400742
2021/10/8,6317.629428,2733.735314
2021/10/9,6967.669921,1969.829978
2021/10/10,7834.821594,3688.183405
2021/10/11,8758.044368,2946.661476
2021/10/12,10302.3553,2325.063336
2021/10/13,7412.419727,4109.246345
2021/10/14,9091.355637,2297.742237
2021/10/15,7912.685328,2296.324341
2021/10/16,6343.679703,3698.655359
2021/10/17,8557.327577,3227.571557
2021/10/18,8080.612325,3787.147879
2021/10/19,9453.433066,3719.307551
2021/10/20,7727.6971,3134.561914
2021/10/21,7940.995443,2331.120766
2021/10/22,9720.704158,3184.49009
2021/10/23,8643.453845,3754.514775
2021/10/24,7365.835115,4508.146224
2021/10/25,8993.356137,5425.99736
2021/10/26,7382.737791,4753.510518
2021/10/27,6788.536518,3445.368054
2021/10/28,7488.849275,4541.299842
2021/10/29,6196.378499,3759.763016
2021/10/30,8023.985454,4633.572841
2021/10/31,5954.862389,2704.129981
2021/11/1,8255.954506,4585.435484
